seed,range,num_data,packets
8,100,5,634
8,100,10,692
8,100,15,774
8,100,20,832
8,100,25,890
8,100,30,949
8,100,35,1002
8,100,40,1071
8,100,45,1134
8,100,50,1186
8,100,55,1240
8,100,60,1312
8,100,65,1431
8,100,70,1438
8,100,75,1518
8,100,80,1575
8,100,85,1630
8,100,90,1716
8,100,95,1798
8,100,100,1854
8,150,5,472
8,150,10,508
8,150,15,557
8,150,20,596
8,150,25,637
8,150,30,697
8,150,35,717
8,150,40,745
8,150,45,779
8,150,50,854
8,150,55,851
8,150,60,877
8,150,65,929
8,150,70,989
8,150,75,1009
8,150,80,1060
8,150,85,1115
8,150,90,1150
8,150,95,1174
8,150,100,1230
8,200,5,411
8,200,10,441
8,200,15,476
8,200,20,510
8,200,25,541
8,200,30,577
8,200,35,594
8,200,40,624
8,200,45,652
8,200,50,675
8,200,55,716
8,200,60,735
8,200,65,771
8,200,70,789
8,200,75,839
8,200,80,883
8,200,85,891
8,200,90,942
8,200,95,951
8,200,100,1003
8,250,5,374
8,250,10,392
8,250,15,418
8,250,20,445
8,250,25,470
8,250,30,490
8,250,35,517
8,250,40,534
8,250,45,556
8,250,50,580
8,250,55,610
8,250,60,627
8,250,65,660
8,250,70,685
8,250,75,720
8,250,80,738
8,250,85,755
8,250,90,789
8,250,95,807
8,250,100,834
8,300,5,347
8,300,10,365
8,300,15,389
8,300,20,412
8,300,25,434
8,300,30,457
8,300,35,476
8,300,40,493
8,300,45,510
8,300,50,541
8,300,55,548
8,300,60,575
8,300,65,596
8,300,70,619
8,300,75,649
8,300,80,670
8,300,85,695
8,300,90,705
8,300,95,724
8,300,100,745
